Year,SeriesCode,Country,Value
2018,VC_DSR_AGLH,Türkiye,312727529.56
2019,VC_DSR_AGLH,Türkiye,840782292.64
2020,VC_DSR_AGLH,Türkiye,20928309.05
2021,VC_DSR_AGLH,Türkiye,59306297.48
2019,VC_DSR_AGLH,Turkmenistan,0.0
2005,VC_DSR_AGLH,Ukraine,10963438.84
2006,VC_DSR_AGLH,Ukraine,24632079.21
2007,VC_DSR_AGLH,Ukraine,101822376.24
2008,VC_DSR_AGLH,Ukraine,269669959.37
2009,VC_DSR_AGLH,Ukraine,23555240.01
2010,VC_DSR_AGLH,Ukraine,42170062.76
2011,VC_DSR_AGLH,Ukraine,1404480.65
2012,VC_DSR_AGLH,Ukraine,8213990.74
2013,VC_DSR_AGLH,Ukraine,20993369.2
2014,VC_DSR_AGLH,Ukraine,548663.63
2015,VC_DSR_AGLH,Ukraine,1246938.62
2016,VC_DSR_AGLH,Ukraine,5125653.1
2017,VC_DSR_AGLH,Ukraine,12985671.1
2018,VC_DSR_AGLH,Ukraine,911797.58
2019,VC_DSR_AGLH,Ukraine,5770130.58
2020,VC_DSR_AGLH,Ukraine,892077819.53
2018,VC_DSR_AGLH,Albania,23124.14
2018,VC_DSR_AGLH,Australia,0.0
2021,VC_DSR_AGLH,Australia,149587521.46
2018,VC_DSR_AGLH,Austria,54168400.0
2019,VC_DSR_AGLH,Austria,61866781.9
2020,VC_DSR_AGLH,Austria,139617112.02
2016,VC_DSR_AGLH,Armenia,15453635.41
2017,VC_DSR_AGLH,Armenia,7088689.76
2018,VC_DSR_AGLH,Armenia,11975537.33
2019,VC_DSR_AGLH,Armenia,5140302.92
2020,VC_DSR_AGLH,Armenia,7481322.28
2021,VC_DSR_AGLH,Armenia,13412773.15
2005,VC_DSR_AGLH,Bulgaria,137386.44
2006,VC_DSR_AGLH,Bulgaria,21501.96
2007,VC_DSR_AGLH,Bulgaria,14663976.47
2008,VC_DSR_AGLH,Bulgaria,0.0
2010,VC_DSR_AGLH,Bulgaria,33843.24
2011,VC_DSR_AGLH,Bulgaria,0.0
2012,VC_DSR_AGLH,Bulgaria,3045.34
2013,VC_DSR_AGLH,Bulgaria,0.0
2014,VC_DSR_AGLH,Bulgaria,2469051.69
2015,VC_DSR_AGLH,Bulgaria,311267.29
2016,VC_DSR_AGLH,Bulgaria,2737656.87
2017,VC_DSR_AGLH,Bulgaria,36473.64
2018,VC_DSR_AGLH,Bulgaria,491972.24
2019,VC_DSR_AGLH,Bulgaria,16504907.27
2020,VC_DSR_AGLH,Bulgaria,11104548.84
2021,VC_DSR_AGLH,Bulgaria,149991.01
2016,VC_DSR_AGLH,Belarus,0.0
2017,VC_DSR_AGLH,Belarus,0.0
2018,VC_DSR_AGLH,Belarus,0.0
2019,VC_DSR_AGLH,Belarus,0.0
2021,VC_DSR_AGLH,Belarus,0.0
2009,VC_DSR_AGLH,Chile,0.0
2013,VC_DSR_AGLH,Chile,0.0
2017,VC_DSR_AGLH,Chile,29177397.79
2018,VC_DSR_AGLH,Chile,0.0
2019,VC_DSR_AGLH,Chile,0.0
2020,VC_DSR_AGLH,Chile,0.0
2021,VC_DSR_AGLH,Chile,0.0
2005,VC_DSR_AGLH,Colombia,0.0
2007,VC_DSR_AGLH,Colombia,0.0
2012,VC_DSR_AGLH,Colombia,3106869078.46
2013,VC_DSR_AGLH,Colombia,2370939790.13
2014,VC_DSR_AGLH,Colombia,75738278142.09
2015,VC_DSR_AGLH,Colombia,38402072967.62
2016,VC_DSR_AGLH,Colombia,52622543582.47
2017,VC_DSR_AGLH,Colombia,30215255458.41
2018,VC_DSR_AGLH,Colombia,14332530054.79
2021,VC_DSR_AGLH,Colombia,4037.37
2005,VC_DSR_AGLH,Costa Rica,19827378.84
2006,VC_DSR_AGLH,Costa Rica,30638.63
2007,VC_DSR_AGLH,Costa Rica,14246820.58
2008,VC_DSR_AGLH,Costa Rica,22059313.65
2009,VC_DSR_AGLH,Costa Rica,14695956.27
2010,VC_DSR_AGLH,Costa Rica,6656149.95
2011,VC_DSR_AGLH,Costa Rica,0.0
2012,VC_DSR_AGLH,Costa Rica,0.0
2013,VC_DSR_AGLH,Costa Rica,0.0
2014,VC_DSR_AGLH,Costa Rica,7441472.98
2015,VC_DSR_AGLH,Costa Rica,13446096.29
2016,VC_DSR_AGLH,Costa Rica,48493628.14
2017,VC_DSR_AGLH,Costa Rica,7140294.25
2018,VC_DSR_AGLH,Costa Rica,162919.38
2019,VC_DSR_AGLH,Costa Rica,1824433.4
2020,VC_DSR_AGLH,Costa Rica,873951.11
2021,VC_DSR_AGLH,Costa Rica,33538064.74
2017,VC_DSR_AGLH,Croatia,366226352.24
2017,VC_DSR_AGLH,Cyprus,5724774.59
2016,VC_DSR_AGLH,Czechia,5441917.08
2017,VC_DSR_AGLH,Czechia,299448159.82
2005,VC_DSR_AGLH,Estonia,0.0
2006,VC_DSR_AGLH,Estonia,12545477.36
2007,VC_DSR_AGLH,Estonia,0.0
2008,VC_DSR_AGLH,Estonia,13388018.16
2009,VC_DSR_AGLH,Estonia,0.0
2010,VC_DSR_AGLH,Estonia,0.0
2011,VC_DSR_AGLH,Estonia,0.0
2012,VC_DSR_AGLH,Estonia,0.0
2013,VC_DSR_AGLH,Estonia,0.0
2014,VC_DSR_AGLH,Estonia,0.0
2015,VC_DSR_AGLH,Estonia,3483870.48
2016,VC_DSR_AGLH,Estonia,2401979.75
2017,VC_DSR_AGLH,Estonia,3581089.33
2018,VC_DSR_AGLH,Estonia,0.0
2015,VC_DSR_AGLH,Finland,4041955.46
2016,VC_DSR_AGLH,Finland,5877655.53
2017,VC_DSR_AGLH,Finland,4257768.35
2018,VC_DSR_AGLH,Finland,0.0
2015,VC_DSR_AGLH,France,751125231.23
2016,VC_DSR_AGLH,France,1207008943.96
2017,VC_DSR_AGLH,France,110708755.29
2016,VC_DSR_AGLH,Georgia,0.0
2019,VC_DSR_AGLH,Georgia,0.0
2020,VC_DSR_AGLH,Georgia,0.0
2021,VC_DSR_AGLH,Hungary,0.0
2015,VC_DSR_AGLH,Ireland,0.0
2016,VC_DSR_AGLH,Ireland,939831.58
2015,VC_DSR_AGLH,Japan,1063299070.51
2016,VC_DSR_AGLH,Japan,3876714379.51
2017,VC_DSR_AGLH,Japan,2210310505.55
2018,VC_DSR_AGLH,Japan,5607219459.67
2019,VC_DSR_AGLH,Japan,4608600492.89
2020,VC_DSR_AGLH,Japan,2701907082.07
2021,VC_DSR_AGLH,Japan,1737380299.29
2017,VC_DSR_AGLH,Kazakhstan,335275.05
2018,VC_DSR_AGLH,Kazakhstan,847389.28
2019,VC_DSR_AGLH,Kazakhstan,1532993.18
2020,VC_DSR_AGLH,Kazakhstan,17275532.71
2015,VC_DSR_AGLH,Republic of Korea,8837594.23
2016,VC_DSR_AGLH,Republic of Korea,47093466.11
2017,VC_DSR_AGLH,Republic of Korea,13621697.55
2018,VC_DSR_AGLH,Republic of Korea,17999351.2
2019,VC_DSR_AGLH,Republic of Korea,31264305.59
2020,VC_DSR_AGLH,Republic of Korea,32684218.05
2015,VC_DSR_AGLH,Kyrgyzstan,11251744.82
2016,VC_DSR_AGLH,Kyrgyzstan,914882.69
2017,VC_DSR_AGLH,Kyrgyzstan,183815.98
2018,VC_DSR_AGLH,Kyrgyzstan,1485512.12
2019,VC_DSR_AGLH,Kyrgyzstan,186954.88
2020,VC_DSR_AGLH,Kyrgyzstan,4973449.21
2020,VC_DSR_AGLH,Lithuania,150100.56
2015,VC_DSR_AGLH,Mexico,0.0
2016,VC_DSR_AGLH,Mexico,0.0
2017,VC_DSR_AGLH,Mexico,519086.84
2018,VC_DSR_AGLH,Mexico,6743242.15
2019,VC_DSR_AGLH,Mexico,29866842240.23
2020,VC_DSR_AGLH,Mexico,10251203989.18
2021,VC_DSR_AGLH,Mexico,13237825404.69
2017,VC_DSR_AGLH,Netherlands (Kingdom of the),0.0
2019,VC_DSR_AGLH,Netherlands (Kingdom of the),0.0
2017,VC_DSR_AGLH,New Zealand,25360363.91
2018,VC_DSR_AGLH,New Zealand,0.0
2020,VC_DSR_AGLH,New Zealand,686744448.71
2017,VC_DSR_AGLH,Norway,8665726.38
2005,VC_DSR_AGLH,Romania,210830.9
2006,VC_DSR_AGLH,Romania,3308478.46
2007,VC_DSR_AGLH,Romania,37074769.31
2008,VC_DSR_AGLH,Romania,1341693.99
2009,VC_DSR_AGLH,Romania,14407336.11
2010,VC_DSR_AGLH,Romania,1006755.09
2011,VC_DSR_AGLH,Romania,411971.72
2012,VC_DSR_AGLH,Romania,4581419.18
2013,VC_DSR_AGLH,Romania,3491578.47
2014,VC_DSR_AGLH,Romania,1140012.54
2015,VC_DSR_AGLH,Romania,36655946.03
2016,VC_DSR_AGLH,Romania,24888536.16
2017,VC_DSR_AGLH,Romania,1510972.98
2018,VC_DSR_AGLH,Romania,777424527.1
2019,VC_DSR_AGLH,Romania,579411736.95
2020,VC_DSR_AGLH,Romania,453830348.73
2021,VC_DSR_AGLH,Romania,399206.43
2014,VC_DSR_AGLH,Serbia,45464.97
2015,VC_DSR_AGLH,Serbia,6142864.41
2016,VC_DSR_AGLH,Serbia,1254852.14
2017,VC_DSR_AGLH,Serbia,15545570.42
2018,VC_DSR_AGLH,Serbia,353962.28
2019,VC_DSR_AGLH,Serbia,6488549.41
2008,VC_DSR_AGLH,Slovenia,26177111.78
2009,VC_DSR_AGLH,Slovenia,16734369.36
2010,VC_DSR_AGLH,Slovenia,12570296.95
2011,VC_DSR_AGLH,Slovenia,9836993.71
2012,VC_DSR_AGLH,Slovenia,91642232.51
2013,VC_DSR_AGLH,Slovenia,141469393.7
2016,VC_DSR_AGLH,Slovenia,49155159.73
2017,VC_DSR_AGLH,Slovenia,129137612.6
2018,VC_DSR_AGLH,Slovenia,4580009.67
2019,VC_DSR_AGLH,Slovenia,2320846.42
2020,VC_DSR_AGLH,Slovenia,4797159.69
2021,VC_DSR_AGLH,Slovenia,47455711.58
2015,VC_DSR_AGLH,Sweden,0.0
2016,VC_DSR_AGLH,Sweden,0.0
2017,VC_DSR_AGLH,Sweden,0.0
2018,VC_DSR_AGLH,Sweden,709805808.1
2019,VC_DSR_AGLH,Sweden,0.0
2020,VC_DSR_AGLH,Sweden,0.0
2005,VC_DSR_AGLH,Switzerland,101737761.0
2006,VC_DSR_AGLH,Switzerland,50281368.64
2007,VC_DSR_AGLH,Switzerland,29225908.03
2008,VC_DSR_AGLH,Switzerland,39856236.73
2009,VC_DSR_AGLH,Switzerland,171981867.48
2010,VC_DSR_AGLH,Switzerland,20193370.4
2011,VC_DSR_AGLH,Switzerland,67472628.65
2012,VC_DSR_AGLH,Switzerland,41515318.64
2013,VC_DSR_AGLH,Switzerland,136641078.03
2014,VC_DSR_AGLH,Switzerland,54668037.71
2015,VC_DSR_AGLH,Switzerland,150524314.83
2016,VC_DSR_AGLH,Switzerland,88941612.12
2017,VC_DSR_AGLH,Switzerland,184238725.83
2018,VC_DSR_AGLH,Switzerland,67587081.96
2019,VC_DSR_AGLH,Switzerland,61074237.13
2020,VC_DSR_AGLH,Switzerland,32814201.9
2015,VC_DSR_AGLH,Tajikistan,24421038.11
2016,VC_DSR_AGLH,Tajikistan,3436.45
2017,VC_DSR_AGLH,Tajikistan,250.86
2018,VC_DSR_AGLH,Tajikistan,996.1
2019,VC_DSR_AGLH,Tajikistan,404265.61
2020,VC_DSR_AGLH,Tajikistan,4401185.83
2015,VC_DSR_AGLH,Türkiye,962859979.15
2016,VC_DSR_AGLH,Türkiye,439765615.07
2017,VC_DSR_AGLH,Türkiye,197537253.42
2018,VC_DSR_AGLH,Türkiye,312727529.56
2019,VC_DSR_AGLH,Türkiye,840782292.64
2020,VC_DSR_AGLH,Türkiye,20928309.05
2021,VC_DSR_AGLH,Türkiye,59306297.48
2019,VC_DSR_AGLH,Turkmenistan,0.0
2005,VC_DSR_AGLH,Ukraine,10963438.84
2006,VC_DSR_AGLH,Ukraine,24632079.21
2007,VC_DSR_AGLH,Ukraine,101822376.24
2008,VC_DSR_AGLH,Ukraine,269669959.37
2009,VC_DSR_AGLH,Ukraine,23555240.01
2010,VC_DSR_AGLH,Ukraine,42170062.76
2011,VC_DSR_AGLH,Ukraine,1404480.65
2012,VC_DSR_AGLH,Ukraine,8213990.74
2013,VC_DSR_AGLH,Ukraine,20993369.2
2014,VC_DSR_AGLH,Ukraine,548663.63
2015,VC_DSR_AGLH,Ukraine,1246938.62
2016,VC_DSR_AGLH,Ukraine,5125653.1
2017,VC_DSR_AGLH,Ukraine,12985671.1
2018,VC_DSR_AGLH,Ukraine,911797.58
2019,VC_DSR_AGLH,Ukraine,5770130.58
2020,VC_DSR_AGLH,Ukraine,892077819.53
2021,VC_DSR_AGLH,Ukraine,3871891.14
2019,VC_DSR_AGLH,Uzbekistan,0.0
2020,VC_DSR_AGLH,Uzbekistan,0.0
2021,VC_DSR_AGLH,Ukraine,3871891.14
2019,VC_DSR_AGLH,Uzbekistan,0.0
2020,VC_DSR_AGLH,Uzbekistan,0.0
2020,VC_DSR_AGLH,Uzbekistan,0.0
