Year,SeriesCode,Country,Age,Sex,Value
2006,VC_VAW_SXVLN,Azerbaijan,18-29,Female,0.09
2016,VC_VAW_SXVLN,Armenia,18-29,Female,0.052
2015,VC_VAW_SXVLN,Colombia,18-29,Male,0.3
2015,VC_VAW_SXVLN,Colombia,18-29,Female,2.2
2021,VC_VAW_SXVLN,India,18-29,Female,1.234
2021,VC_VAW_SXVLN,Mexico,18-29,Female,12.9
2005,VC_VAW_SXVLN,Moldova,18-29,Female,5.226
2012,VC_VAW_SXVLN,Sweden,18-74,Male,4.0
2012,VC_VAW_SXVLN,Sweden,18-74,Female,13.0
2017,VC_VAW_SXVLN,Tajikistan,18-29,Female,0.0
2007,VC_VAW_SXVLN,Ukraine,18-29,Female,1.84
2019,VC_VAW_SXVLN,United Kingdom of Great Britain and Northern Ireland,18-29,Female,8.1
2019,VC_VAW_SXVLN,United Kingdom of Great Britain and Northern Ireland,18-29,Male,1.3
2019,VC_VAW_SXVLN,United Kingdom of Great Britain and Northern Ireland,18-29,Male,1.3
