Year,SeriesCode,Country,Age,Parliamentary committees,Sex,Value
2021,SG_DMK_PARLCC_JC,Australia,46+,FAFF_DEF,Male,1
2021,SG_DMK_PARLCC_JC,Australia,46+,HUM_RIGH,Female,1
2022,SG_DMK_PARLCC_JC,Australia,46+,FAFF_DEF,Male,1
2022,SG_DMK_PARLCC_JC,Australia,46+,HUM_RIGH,Female,1
2023,SG_DMK_PARLCC_JC,Australia,<=45Y,HUM_RIGH,Male,1
2023,SG_DMK_PARLCC_JC,Australia,46+,FAFF_DEF,Male,1
2021,SG_DMK_PARLCC_JC,Bosnia and Herzegovina,_U,HUM_RIGH,Male,1
2022,SG_DMK_PARLCC_JC,Bosnia and Herzegovina,_U,HUM_RIGH,Male,1
2023,SG_DMK_PARLCC_JC,Bosnia and Herzegovina,_U,HUM_RIGH,Male,1
2023,SG_DMK_PARLCC_JC,Bosnia and Herzegovina,_U,DEFENCE,Male,1
2023,SG_DMK_PARLCC_JC,Colombia,<=45Y,GEN_EQU,Female,1
2023,SG_DMK_PARLCC_JC,Colombia,46+,HUM_RIGH,Male,1
2021,SG_DMK_PARLCC_JC,India,<=45Y,GEN_EQU,Female,1
2021,SG_DMK_PARLCC_JC,India,46+,FINANCE,Male,1
2022,SG_DMK_PARLCC_JC,India,46+,FINANCE,Male,1
2022,SG_DMK_PARLCC_JC,India,<=45Y,GEN_EQU,Female,1
2023,SG_DMK_PARLCC_JC,India,<=45Y,GEN_EQU,Female,1
2023,SG_DMK_PARLCC_JC,India,46+,FINANCE,Male,1
2021,SG_DMK_PARLCC_JC,Ireland,46+,FAFF_DEF,Male,1
2021,SG_DMK_PARLCC_JC,Ireland,46+,FINANCE,Male,1
2021,SG_DMK_PARLCC_JC,Ireland,<=45Y,GEN_EQU,Male,1
2022,SG_DMK_PARLCC_JC,Ireland,46+,FINANCE,Male,1
2022,SG_DMK_PARLCC_JC,Ireland,46+,FAFF_DEF,Male,1
2022,SG_DMK_PARLCC_JC,Ireland,<=45Y,GEN_EQU,Female,1
2023,SG_DMK_PARLCC_JC,Ireland,46+,FINANCE,Male,1
2023,SG_DMK_PARLCC_JC,Ireland,46+,FAFF_DEF,Male,1
2023,SG_DMK_PARLCC_JC,Ireland,<=45Y,GEN_EQU,Female,1
2021,SG_DMK_PARLCC_JC,Spain,46+,DEFENCE,Male,1
2022,SG_DMK_PARLCC_JC,Spain,46+,DEFENCE,Male,1
2023,SG_DMK_PARLCC_JC,Spain,46+,DEFENCE,Male,1
2021,SG_DMK_PARLCC_JC,United Kingdom of Great Britain and Northern Ireland,46+,HUM_RIGH,Female,1
2022,SG_DMK_PARLCC_JC,United Kingdom of Great Britain and Northern Ireland,46+,HUM_RIGH,Female,1
2023,SG_DMK_PARLCC_JC,United Kingdom of Great Britain and Northern Ireland,46+,HUM_RIGH,Female,1
2021,SG_DMK_PARLCC_JC,Uzbekistan,46+,HUM_RIGH,Male,1
2022,SG_DMK_PARLCC_JC,Uzbekistan,46+,HUM_RIGH,Male,1
2023,SG_DMK_PARLCC_JC,Uzbekistan,46+,HUM_RIGH,Male,1
2023,SG_DMK_PARLCC_JC,Uzbekistan,46+,HUM_RIGH,Male,1
